school_name,city,state,zip,school_url,price_calculator_url,in_state_tuition,out_of_state_tuition,attendance_cost,median_debt,student_size,net_price_public,net_price_private,median_earnings_10yrs,completion_rate,admission_rate,sat_average,first_generation,median_family_income,age_entry,completion_rate_imputed,admission_rate_imputed,sat_average_imputed,first_generation_imputed
Alabama A & M University,Normal,AL,35762,www.aamu.edu/,www.aamu.edu/admissions-aid/tuition-fees/net-price-calculator.html,10024,18634,23167,31000.0,5196,14205,0,40628,0.2738,0.684,920.0,0.3658280922,23553,20,False,False,False,False
University of Alabama at Birmingham,Birmingham,AL,35294-0110,https://www.uab.edu/,https://tcc.ruffalonl.com/University of Alabama at Birmingham/Freshman-Students,8832,21216,26257,22300.0,12776,14620,0,54501,0.6353,0.8668,1291.0,0.341223671,34489,23,False,False,False,False
Amridge University,Montgomery,AL,36117-3553,https://www.amridgeuniversity.edu/,https://www2.amridgeuniversity.edu:9091/,0,0,0,32189.0,228,0,0,37621,,,,0.5125,15033,33,True,True,True,False
University of Alabama in Huntsville,Huntsville,AL,35899,www.uah.edu/,finaid.uah.edu/,11878,24770,25777,20705.0,6985,13902,0,61767,0.6192,0.781,1259.0,0.3101321586,44787,22,False,False,False,False
Alabama State University,Montgomery,AL,36104-0271,www.alasu.edu/,www.alasu.edu/cost-aid/tuition-costs/net-price-calculator,11068,19396,21900,31000.0,3296,13066,0,34502,0.2806,0.966,963.0,0.3434343434,22080,20,False,False,False,False
The University of Alabama,Tuscaloosa,AL,35487-0100,www.ua.edu/,financialaid.ua.edu/net-price-calculator/,11940,32300,31024,22750.0,31360,17942,0,59221,0.725,0.8006,1304.0,0.2257126887,66733,21,False,False,False,False
Central Alabama Community College,Alexander City,AL,35010,www.cacc.edu/,https://www.cacc.edu/net-price-calculator/,4990,8740,14041,9766.0,963,7232,0,33506,0.2177,,,0.5496760259,22217,23,False,True,True,False
Athens State University,Athens,AL,35611,www.athens.edu/,www.athens.edu/financial-aid/net-price-calculator/,0,0,0,18051.0,2465,0,0,50273,,,,0.4774964838,29645,30,True,True,True,False
Auburn University at Montgomery,Montgomery,AL,36117-3596,www.aum.edu/,www.aum.edu/current-students/financial-information/net-price-calculator,9100,19348,19771,25000.0,3307,10873,0,44391,0.3577,0.9223,1051.0,0.38189609,29671,22,False,False,False,False
Auburn University,Auburn,AL,36849,www.auburn.edu/,https://www.auburn.edu/admissions/costcalc/freshman.html,12176,32960,33650,21000.0,25234,17481,0,65337,0.8082,0.4374,1292.0,0.1726471191,72031,20,False,False,False,False
Birmingham-Southern College,Birmingham,AL,35254,www.bsc.edu/,www.bsc.edu/fp/np-calculator.cfm,21250,21250,35495,25000.0,968,0,17530,59481,0.6762,0.5717,1218.0,0.1724941725,68094,19,False,False,False,False
Chattahoochee Valley Community College,Phenix City,AL,36869,https://www.cv.edu/,https://external.cv.edu/npc/index.html,4980,8730,9320,10500.0,1101,1980,0,36438,0.2021,,,0.4302670623,20813,24,False,True,True,False
South University-Montgomery,Montgomery,AL,36116,www.southuniversity.edu/,www.southuniversity.edu/montgomery/net-price-calculator,17014,17014,32195,26123.0,315,0,26145,34421,0.1,,,0.4722883373,20000,30,False,True,True,False
Enterprise State Community College,Enterprise,AL,36330-1300,www.escc.edu/,https://www.escc.edu/netprice/npcalc.htm,4920,8670,9452,7499.0,1359,1838,0,42572,0.2944,,,0.4218916047,20456,23,False,True,True,False
Coastal Alabama Community College,Bay Minette,AL,36507-2698,www.coastalalabama.edu/,www.coastalalabama.edu/about/consumer_information/net_price_calculator/,4920,8670,14446,11000.0,4809,5700,0,34894,0.2384,,,0.4351196495,24150,23,False,True,True,False
Faulkner University,Montgomery,AL,36109-3390,www.faulkner.edu/,www.faulkner.edu/net-price-calculator/,23920,23920,36169,23000.0,1587,0,20384,43457,0.2595,0.8241,1021.0,0.4300319489,24037,28,False,False,False,False
Gadsden State Community College,Gadsden,AL,35903,www.gadsdenstate.edu/,www.gadsdenstate.edu/admissions-aid/net-price-calculator.cms,3984,6984,10613,13500.0,3446,3694,0,32937,0.2612,,,0.5149544863,16623,23,False,True,True,False
New Beginning College of Cosmetology,Albertville,AL,35951,www.nbccosmetology.com/,nbccosmetology.com/wp-content/themes/nbc/nbc_zonemap/,0,0,0,9500.0,45,0,12790,0,0.61,,,0.5,17173,23,False,True,True,False
George C Wallace Community College-Dothan,Dothan,AL,36303-9234,www.wallace.edu/,www.wallace.edu/npcalc/,4860,8610,8592,13500.0,3069,1328,0,31399,0.2779,,,0.4851537646,15816,23,False,True,True,False
George C Wallace State Community College-Hanceville,Hanceville,AL,35077-2000,https://www.wallacestate.edu/,https://www.wallacestate.edu/financial-aid/net-price-calculator.html,4920,8670,15488,11000.0,4207,10901,0,39842,0.4498,,,0.498813157,27572,23,False,True,True,False
George C Wallace State Community College-Selma,Selma,AL,36702-2808,https://www.wccs.edu/,https://www.wccs.edu/financial-aid/netprice-calculator,4620,8370,9195,13500.0,856,1151,0,31598,0.3584,,,0.5125881168,14330,22,False,True,True,False
Herzing University-Birmingham,Birmingham,AL,35209,https://www.herzing.edu/,https://www.herzing.edu/tuition-financial-aid/net-price-calculator,12750,12750,28152,21500.0,570,0,19256,36909,0.3636,0.9412,,0.5209032652,18321,31,False,False,True,False
Huntingdon College,Montgomery,AL,36106-2148,www.huntingdon.edu/,www.huntingdon.edu/admission-aid/student-financial-services/net-price-calculator/,28350,28350,39717,27000.0,810,0,21553,49601,0.4735,0.6595,1086.0,0.3456,37577,23,False,False,False,False
Heritage Christian University,Florence,AL,35630-9977,www.hcu.edu/,www.hcu.edu/netpricecalculator/,11632,11632,17810,13500.0,72,0,3136,42597,,1.0,,,36524,28,True,False,True,True
J. F. Drake State Community and Technical College,Huntsville,AL,35811,https://www.drakestate.edu/,https://www.drakestate.edu/NetPriceCalculator.html,4890,8640,12078,13500.0,698,5016,0,28281,0.1284,,,0.5899653979,13959,27,False,True,True,False
J F Ingram State Technical College,Deatsville,AL,36022,www.istc.edu/,istc.edu/NetPrice/,4860,4860,6084,13500.0,768,4471,0,0,0.1609,,,0.4918032787,0,36,False,True,True,False
Jacksonville State University,Jacksonville,AL,36265,www.jsu.edu/,www.jsu.edu/finaid/,11952,21912,22153,22189.0,7066,16020,0,45235,0.511,0.7846,1055.0,0.3637702504,35734,22,False,False,False,False
Jefferson State Community College,Birmingham,AL,35215-3098,www.jeffersonstate.edu/,www.jeffersonstate.edu/financial-aid/net-price-calculator/,5220,8910,14677,9689.0,5550,5515,0,40719,0.2148,,,0.4502907782,25922,24,False,True,True,False
John C Calhoun State Community College,Tanner,AL,35671,https://calhoun.edu/,https://calhoun.edu/student-services/financial-aid/net-price-calculator/,5000,8750,11532,12000.0,6549,4850,0,38192,0.341,,,0.455343703,25186,23,False,True,True,False
Lawson State Community College,Birmingham,AL,35221-1717,www.lawsonstate.edu/,www.lawsonstate.edu/disclosure_and_consumer_information/general_institutional_information/net_price_calculator.aspx,4920,8670,14471,13500.0,2554,3354,0,31701,0.2378,,,0.4747231584,16187,23,False,True,True,False
University of West Alabama,Livingston,AL,35470,www.uwa.edu/,secure.uwa.edu/calculator/,10990,20090,22456,24944.0,2424,12558,0,44232,0.3882,0.6886,1015.0,0.403210576,25552,22,False,False,False,False
Lurleen B Wallace Community College,Andalusia,AL,36420-1224,https://www.lbwcc.edu/,https://www.lbwcc.edu/future-students/financial-aid/net-price-calculator,4920,8670,10125,13500.0,1111,2541,0,32307,0.335,,,0.5203426124,18213,22,False,True,True,False
Marion Military Institute,Marion,AL,36756-3207,www.marionmilitary.edu/,marionmilitary.edu/calculator/,9538,15538,18368,9250.0,320,9058,0,59644,0.3038,0.627,,0.2338028169,38434,19,False,False,True,False
Miles College,Fairfield,AL,35064-2621,www.miles.edu/,https://miles.studentaidcalculator.com/survey.aspx,12714,12714,22653,31217.0,1257,0,12521,32627,0.2515,,,0.4164588529,17702,21,False,True,True,False
University of Mobile,Mobile,AL,36613-2842,www.umobile.edu/,umobile.edu/financial-aid/cost-calculator/,25880,25880,37908,26500.0,1108,0,16575,43611,0.4892,0.8408,1220.0,0.3242857143,39700,23,False,False,False,False
University of Montevallo,Montevallo,AL,35115-6000,www.montevallo.edu/,https://www.montevallo.edu/NetPriceCalculator/,13710,26730,26185,24000.0,2128,14118,0,42957,0.5318,0.5984,,0.3252375924,43813,21,False,False,True,False
Northwest-Shoals Community College,Muscle Shoals,AL,35661,https://www.nwscc.edu/,nwscc.edu/admissions/tuition-fees/,5011,8761,10919,10000.0,2026,849,0,33828,0.2639,,,0.5141117875,21195,23,False,True,True,False
University of North Alabama,Florence,AL,35632-0001,www.una.edu/,studentnpc.collegeboard.org/,11220,21420,21621,22077.0,5408,7922,0,45415,0.5176,0.9568,,0.36326024,39436,21,False,False,True,False
Northeast Alabama Community College,Rainsville,AL,35986,https://www.nacc.edu/,https://www.nacc.edu/Content/Uploads/NACC/files/Financial Aid/net-price-calc/npcalc.html,4920,8670,9660,6100.0,1565,637,0,34913,0.4769,,,0.5827759197,22763,22,False,True,True,False
Oakwood University,Huntsville,AL,35896,https://www2.oakwood.edu/,https://oakwood.studentaidcalculator.com/,20040,20040,38377,27000.0,1378,0,18518,42488,0.478,0.6805,,0.17623498,36829,21,False,False,True,False
Reid State Technical College,Evergreen,AL,36401,www.rstc.edu/,images.pcmac.org/Uploads/ReidStateTech/ReidStateTech/Divisions/DocumentsCategories/Documents/index_{SIS703AD5AB07EA}.html,4950,8700,11482,13500.0,281,1600,0,28982,0.343,,,0.5903225806,14034,25,False,True,True,False
Bishop State Community College,Mobile,AL,36603-5898,www.bishop.edu/,https://www.bishop.edu/assets/uploads/pages/Net-Price-Calculator-2020.html,4920,8670,11616,13500.0,1943,2160,0,29916,0.2492,,,0.4853977845,14536,24,False,True,True,False
Samford University,Birmingham,AL,35229-2240,www.samford.edu/,https://www.samford.edu/admission/net-price-calculator,36725,36725,52514,19500.0,3668,0,23359,58469,0.7832,0.8326,1227.0,0.1380552221,87745,21,False,False,False,False
Selma University,Selma,AL,36701,https://selmauniversity.edu/,https://selmauniversity.edu/,4800,4800,0,13500.0,30,0,0,0,,,,0.6194331984,9948,27,True,True,True,False
Shelton State Community College,Tuscaloosa,AL,35405-8522,www.sheltonstate.edu/,apps.sheltonstate.edu/netpricecalculator/npcalc.htm,4980,8730,15065,13500.0,3257,7947,0,35014,0.2511,,,0.4763044519,15976,22,False,True,True,False
Snead State Community College,Boaz,AL,35957-0734,www.snead.edu/,snead.edu/tuition-aid/net_price_calculator/,5408,9408,12800,9000.0,1494,6428,0,35735,0.4269,,,0.5326251897,23735,23,False,True,True,False
University of South Alabama,Mobile,AL,36688-0002,www.southalabama.edu/,www.southalabama.edu/departments/finaid/netpricecalculator/,9116,17732,22667,24929.0,8171,12411,0,49379,0.4754,0.6536,1118.0,0.334257975,36199,21,False,False,False,False
Spring Hill College,Mobile,AL,36608-1791,https://www.shc.edu/,https://www.shc.edu/admissions-aid/tuition-financial-aid/net-price-calculator/,21732,21732,35488,27000.0,932,0,13220,51500,0.5888,0.7263,1094.0,0.2516339869,61189,19,False,False,False,False
Stillman College,Tuscaloosa,AL,35401,https://stillman.edu/,https://stillman.edu/admissions/cost-of-attendance/,11392,11392,25678,29067.0,727,0,15446,35421,0.1821,0.6454,,0.4105058366,19890,21,False,False,True,False
Talladega College,Talladega,AL,35160,www.talladega.edu/,www.talladega.edu/netcalc/npcalc.htm,13866,13866,22267,28500.0,832,0,12875,32229,0.285,,,0.3980582524,18810,21,False,True,True,False
H Councill Trenholm State Community College,Montgomery,AL,36108-3199,www.trenholmstate.edu/,www.trenholmstate.edu/net-price-calculator/,4830,8580,12688,13500.0,1599,6235,0,32183,0.2144,,,0.4304399524,15992,24,False,True,True,False
Troy University,Troy,AL,36082-0001,www.troy.edu/,www.troy.edu/net-price-calculator/index.html,9312,18624,22005,25000.0,10316,13911,0,42062,0.4856,0.9484,1050.0,0.3898457122,29641,25,False,False,False,False
Tuskegee University,Tuskegee,AL,36088-1920,www.tuskegee.edu/,npc.collegeboard.org/app/tuskegee?iframe=true,22614,22614,41924,27000.0,2100,0,24480,49641,0.6237,0.2969,1091.0,0.2306438468,35336,19,False,False,False,False
United States Sports Academy,Daphne,AL,36526-7055,www.ussa.edu/,https://ussa.edu/admissions/net-price-calculator/,16418,16418,0,13500.0,94,0,0,55257,,1.0,,,29000,31,True,False,True,True
Bevill State Community College,Jasper,AL,35501,www.bscc.edu/,www.bscc.edu/Content/Uploads/bscc.edu/files/BSCCNetPriceCalculator.html,5278,9278,15002,13500.0,2205,7395,0,34107,0.3648,,,0.5308083663,16911,23,False,True,True,False
University of Alaska Anchorage,Anchorage,AK,99508,www.uaa.alaska.edu/,www.uaa.alaska.edu/financialaid/customcf/npcalc.htm,7508,21635,23461,20210.0,6778,6450,0,51871,0.3021,0.6532,,0.3891938746,33525,25,False,False,True,False
Alaska Bible College,Palmer,AK,99645,www.akbible.edu/,www.akbible.edu/admissions/tuition-aid/net-price-calculator/,10900,10900,19679,13500.0,31,0,14153,0,,,,,42490,24,True,True,True,True
University of Alaska Fairbanks,Fairbanks,AK,99775,www.uaf.edu/,uaf.edu/finaid/costs/net-price-calculator.php,7896,22032,19814,20291.0,4010,5742,0,48866,0.3848,,,0.3988326848,35967,25,False,True,True,False
University of Alaska Southeast,Juneau,AK,99801-8697,www.uas.alaska.edu/,uas.alaska.edu/apply/cost-calculator.html,6960,21096,17471,19111.0,964,3778,0,48475,0.2775,0.6266,,0.3951434879,34718,26,False,False,True,False
Alaska Pacific University,Anchorage,AK,99508,www.alaskapacific.edu/,https://npc.collegeboard.org/student/app/alaskapacific,20760,20760,36422,23500.0,457,0,19606,54271,0.2917,0.9931,,,38810,25,False,False,True,True
Alaska Vocational Technical Center,Seward,AK,99664-0889,www.avtec.edu/,www.avtec.edu/net-price-calculator,0,0,0,13500.0,202,16496,0,51083,0.9132,,,0.4413793103,22043,26,False,True,True,False
Charter College,Vancouver,WA,98683-7575,https://chartercollege.edu/,https://chartercollege.studentaidcalculator.com/survey.aspx,17116,17116,30947,14176.0,2117,0,22646,35504,0.5281,,,0.5540401441,18566,28,False,True,True,False
Alaska Career College,Anchorage,AK,99507-1033,www.alaskacareercollege.edu/,www.alaskacareercollege.edu/tuition-calculator,0,0,0,7377.0,268,0,17748,34468,0.7211,,,0.4767726161,23113,27,False,True,True,False
Empire Beauty School-Tucson,Tucson,AZ,85716,www.empire.edu/,www.empire.edu/net-price-calculator,0,0,0,13000.0,184,0,15535,25073,0.5893,,,0.5698717949,14099,25,False,True,True,False
Carrington College-Phoenix North,Phoenix,AZ,85051-4063,https://carrington.edu/,https://carrington.edu/financial-aid/how-much-will-it-cost/,0,0,0,9500.0,1047,0,26440,36718,0.5784,,,0.5548350719,16832,26,False,True,True,False
Carrington College-Mesa,Mesa,AZ,85210-5005,https://carrington.edu/,https://carrington.edu/financial-aid/how-much-will-it-cost/,0,0,0,9500.0,532,0,39996,36718,0.509,,,0.5548350719,16832,26,False,True,True,False
Carrington College-Tucson,Tucson,AZ,85745-2974,https://carrington.edu/,https://carrington.edu/financial-aid/how-much-will-it-cost/,0,0,0,9500.0,446,0,27116,36718,0.6192,,,0.5548350719,16832,26,False,True,True,False
Arizona Academy of Beauty,Tucson,AZ,85712,www.arizonaacademy.com/,www.arizonaacademy.com/net-price-calculator.html,0,0,0,5250.0,34,0,13676,21201,0.5682,,,0.5053763441,12607,28,False,True,True,False
Miller-Motte College-Arizona Automotive Institute,Glendale,AZ,85301-3579,www.aai.edu/,www.aai.edu/NetPrice/aai/,0,0,0,15917.0,411,0,21863,31102,0.5045,,,0.5862318841,16310,28,False,True,True,False
Brookline College-Phoenix,Phoenix,AZ,85021,www.brooklinecollege.edu/,https://enroll-brookline.educationpartners.com/Npc?null=null#nullx,0,0,0,9500.0,841,0,37807,29576,0.5937,,,0.5590327169,15003,29,False,True,True,False
Arizona State University Campus Immersion,Tempe,AZ,85287,www.asu.edu/,https://students.asu.edu/financialaid/net-price,11618,30592,26937,19500.0,64778,8088,0,62668,0.6646,0.8975,,0.3813179205,35851,24,False,False,True,False
Arizona Western College,Yuma,AZ,85365-8834,https://www.azwestern.edu/,https://www.azwestern.edu/np-calc,2960,9770,15695,4826.0,7595,9713,0,36857,0.2217,,,0.6107646866,21462,23,False,True,True,False
University of Arizona,Tucson,AZ,85721-0066,https://www.arizona.edu/,https://arizona.studentaidcalculator.com/survey.aspx,13275,39577,27682,19620.0,37979,11240,0,59979,0.66,0.8676,1229.0,0.3140729569,43043,21,False,False,False,False
Central Arizona College,Coolidge,AZ,85128-9030,www.centralaz.edu/,centralaz.edu/resources/netpricecalc.html,1500,3000,11627,10010.0,4402,5794,0,40513,0.1872,,,0.498192045,23659,25,False,True,True,False
Charles of Italy Beauty College,Lake Havasu City,AZ,86403,www.charlesofitaly.edu/,charlesofitaly.edu/netpricecalculator/,0,0,0,7388.0,85,0,12113,26269,0.6479,,,0.4923076923,14913,28,False,True,True,False
Cochise County Community College District,Sierra Vista,AZ,85635-2317,https://www.cochise.edu/,https://www.cochise.edu/wp-content/uploads/2021/04/index.html,2184,6000,12971,6750.0,3032,6396,0,38033,0.2791,,,0.4862385321,20864,24,False,True,True,False
Empire Beauty School-Chandler,Chandler,AZ,85224,www.empire.edu/,www.empire.edu/net-price-calculator,0,0,0,10667.0,60,0,15628,23921,0.4468,,,0.5013912076,15061,25,False,True,True,False
Avalon Institute-Mesa,Mesa,AZ,85210,avalon.edu/mesa-az/,avalon.edu/npc/npcalc.html,0,0,0,6332.0,383,0,17358,30803,0.6411,,,0.4886052871,23353,24,False,True,True,False
Eastern Arizona College,Thatcher,AZ,85552-0769,www.eac.edu/,eac.edu/Student_Services/Financial_Aid/Net_Price/default.shtm,2232,9192,15230,13500.0,2942,5577,0,38018,0.4542,,,0.3934707904,18854,24,False,True,True,False
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,86301-3720,prescott.erau.edu/,prescott.erau.edu/financial-aid/net-price-calculator,40464,40464,58036,23666.0,3114,0,34045,84131,0.7027,0.68,1278.0,0.3554592721,38662,25,False,False,False,False
The School of Architecture,Paradise Valley,AZ,85253,https://tsoa.edu/,https://tsoa.edu/master-of-architecture/financial-aid-2021/,0,0,0,13500.0,0,0,0,0,,,,,0,0,True,True,True,True
Glendale Community College,Glendale,AZ,85302,www.gccaz.edu/,https://www.maricopa.edu/npc/gcc/npcalc.htm,2070,7854,16231,6960.0,9807,9765,0,43108,0.1314,,,0.529686243,22267,24,False,True,True,False
Grand Canyon University,Phoenix,AZ,85017,www.gcu.edu/,https://www.gcu.edu/tuition-and-financial-aid,17800,17800,31440,22114.0,65147,0,18207,42186,0.4489,0.7787,,0.4744080533,29879,31,False,False,True,False
GateWay Community College,Phoenix,AZ,85034,www.gatewaycc.edu/,www.gatewaycc.edu/enroll/paying-for-college,2070,7854,17711,6750.0,3470,11696,0,46147,0.2384,,,0.5662280702,21260,27,False,True,True,False
Mesa Community College,Mesa,AZ,85202,www.mesacc.edu/,www.mesacc.edu/students/net-price-calculator.html,2070,7854,17128,7473.0,11351,11062,0,44034,0.138,,,0.4578514912,22608,25,False,True,True,False
Mohave Community College,Kingman,AZ,86409-1238,https://www.mohave.edu/,https://www.mohave.edu/assets/NetPriceCalculator1415/npcalc.htm,2136,7008,11230,9700.0,2791,4398,0,35522,0.2482,,,0.5360896987,19727,27,False,True,True,False
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Avondale,AZ,85323,www.uti.edu/,www.uti.edu/admissions/tuition,0,0,0,13097.0,658,0,19385,48341,0.6667,,,0.5109021804,26362,25,False,True,True,False
Dine College,Tsaile,AZ,86556,https://www.dinecollege.edu/,www.dinecollege.edu/net-price-calculator/,1410,1410,14048,13500.0,1361,11038,0,29188,0.1238,,,0.4318936877,14495,24,False,True,True,False
Northern Arizona University,Flagstaff,AZ,86011-4092,https://nau.edu/,https://www7.nau.edu/finaid/NetPriceCalculator/,12274,27536,28648,19000.0,23090,11429,0,54384,0.5906,0.7999,,0.3868625756,41212,24,False,False,True,False
Northland Pioneer College,Holbrook,AZ,86025-0610,www.npc.edu/,www.npc.edu/financial-aid-scholarships/net-price-calculator,2428,9851,15097,13500.0,1075,9805,0,34199,0.1389,,,0.4664371773,14950,26,False,True,True,False
Phoenix College,Phoenix,AZ,85013,www.phoenixcollege.edu/,www.phoenixcollege.edu/tuition-and-fees/net-price-calculators,2070,7854,16957,6750.0,6588,10408,0,40870,0.1295,,,0.6157552397,20661,25,False,True,True,False
Pima Community College,Tucson,AZ,85709-1275,www.pima.edu/,pima.edu/paying-for-college/tuition-fees/net-price-calculator/npc.htm,2298,7614,8742,7000.0,13328,2498,0,39810,0.1785,,,0.4776079734,20576,24,False,True,True,False
Pima Medical Institute-Tucson,Tucson,AZ,85712,https://pmi.edu/,https://secure.pmi.edu/npcalc/,0,0,0,9500.0,2477,0,0,38673,0.6757,,,0.5053929122,21596,26,False,True,True,False
Pima Medical Institute-Albuquerque,Albuquerque,NM,87110,https://pmi.edu/,https://secure.pmi.edu/npcalc/,0,0,0,5500.0,690,0,19540,30917,0.5533,,,0.4831460674,19904,28,False,True,True,False
Prescott College,Prescott,AZ,86301,https://www.prescott.edu/,www.prescott.edu/net-price-calculator/,35450,35450,45439,16300.0,313,0,18916,42359,0.4878,0.9838,,0.2319587629,26676,27,False,False,True,False
Refrigeration School Inc,Phoenix,AZ,85034-1816,https://www.rsi.edu/,https://www.rsi.edu/tuition-planning/tuition-calculator/,0,0,0,8233.0,990,0,24006,52953,0.6386,,,0.5225653207,21165,30,False,True,True,False
Rio Salado College,Tempe,AZ,85281,www.rio.maricopa.edu/,www.riosalado.edu/student-resources/student-business-services/net-price-calculator,2070,7854,11938,9500.0,3999,6249,0,41015,0.0934,,,0.4732347428,21808,30,False,True,True,False
Roberto-Venn School of Luthiery,Phoenix,AZ,85007,www.roberto-venn.com/,roberto-venn.com/guitar-making-repair-program/net-price-calculator/,0,0,0,13500.0,27,0,26594,35209,0.9677,,,,26717,27,False,True,True,True
Scottsdale Community College,Scottsdale,AZ,85256,www.scottsdalecc.edu/,https://www.scottsdalecc.edu/students/student-business-services/net-price-calculator,2070,7854,18529,8000.0,4245,11832,0,47905,0.197,,,0.4023349798,22000,25,False,True,True,False
South Mountain Community College,Phoenix,AZ,85042,www.southmountaincc.edu/,www.southmountaincc.edu/disclosures/,2070,7854,16406,8000.0,2192,10208,0,39825,0.1658,,,0.5895117541,21078,25,False,True,True,False
Arizona Christian University,Glendale,AZ,85306-3216,arizonachristian.edu/,www.arizonachristian.edu/financial-aid/calculator/,31650,31650,47865,23000.0,1028,0,24298,51612,0.4072,0.7014,,0.3825503356,36206,22,False,False,True,False
Universal Technical Institute of Arizona Inc,Avondale,AZ,85323,www.uti.edu/,www.uti.edu/admissions/tuition,0,0,0,13124.0,1972,0,23338,52873,0.5356,,,0.5486053576,28618,22,False,True,True,False
Yavapai College,Prescott,AZ,86301,https://www.yc.edu/,https://www.yc.edu/v6/public/compare/cost-comparison.html,2680,9340,12681,9000.0,3577,4830,0,39890,0.3619,,,0.5,17699,27,False,True,True,False
University of Arkansas at Little Rock,Little Rock,AR,72204,ualr.edu/www/,ualr.edu/finaid/npc/npcalc.htm,8366,18957,21300,22000.0,4802,14678,0,45265,0.4087,0.6146,1089.0,0.3910404624,27239,25,False,False,False,False
University of Arkansas for Medical Sciences,Little Rock,AR,72205-7199,https://www.uams.edu/,https://studentfinancialservices.uams.edu/tuition-and-fees/,0,0,0,14000.0,1287,0,0,73827,,,,0.3950276243,29171,28,True,True,True,False
Arkansas Baptist College,Little Rock,AR,72202-6068,www.arkansasbaptist.edu/,www.arkansasbaptist.edu/financial-aid/net-price-calculator/,8760,8760,22715,25375.0,497,0,7915,28418,0.0879,,,0.4495289367,14641,21,False,True,True,False
Arkansas Beauty School-Little Rock,Little Rock,AR,72209,arbs.edu/,nces.ed.gov/collegenavigator/,0,0,0,6333.0,98,0,23739,18078,,,,0.5540540541,11328,28,True,True,True,False
Arkansas Beauty College,Russellville,AR,72801,https://www.arkansasbeautycollege.us/,arkbeautycollege.wixsite.com/netpricecalculator,0,0,0,13500.0,29,0,10421,16857,0.5883,,,0.5294117647,14185,25,False,True,True,False
Lyon College,Batesville,AR,72501,www.lyon.edu/,https://lyon.virtueanalytics.com/#!/home/npc,31000,31000,44749,21500.0,489,0,21673,44232,0.4203,0.5984,,0.3,51394,19,False,False,True,False
Arkansas Technical School,North Little Rock,AR,72114,www.arktech.edu/,arktech.edu/careeer-services/net-price-calculator/,0,0,0,16500.0,60,0,23683,16209,,,,0.6184210526,9512,28,True,True,True,False
Arthur's Beauty College,Fort Smith,AR,72901-3342,www.arthursbeautycollege.com/,https://www.arthursbeautycollege.com/fort-smith.html,0,0,0,10500.0,16,0,15011,21470,0.5306,,,0.5428571429,15105,25,False,True,True,False
University of Arkansas,Fayetteville,AR,72701,https://www.uark.edu/,https://finaid.uark.edu/aid-calculator.php,9656,27410,24611,21500.0,26002,11556,0,58191,0.6943,0.7893,1167.0,0.2599614872,64201,21,False,False,False,False
University of Arkansas at Pine Bluff,Pine Bluff,AR,71601,www.uapb.edu/,www.uapb.edu/admissions/net_price_calculator.aspx,8668,15838,19968,24202.0,2155,8927,0,35550,0.4096,0.6933,878.0,0.3677375256,22300,21,False,False,False,False
Arkansas State University-Beebe,Beebe,AR,72012-1000,www.asub.edu/,https://www.asub.edu/financial-aid/17-18-files/npcalc2.htm,3024,4728,15851,8093.0,1829,9044,0,36603,0.387,,,0.4561618639,24595,23,False,True,True,False
Arkansas State University,Jonesboro,AR,72401,www.astate.edu/,www.astate.edu/a/finaid/tuition-fees/net-price-calculator/index.dot,7456,13312,21176,20500.0,7463,7737,0,42617,0.5331,0.6951,1119.0,0.3882667965,33450,23,False,False,False,False
Arkansas Tech University,Russellville,AR,72801-2222,www.atu.edu/,www.atu.edu/finaid/npcalc.htm,8071,13891,20919,21000.0,6108,12444,0,41766,0.4728,0.9439,1090.0,0.4574780059,32169,23,False,False,False,False
University of Arkansas at Monticello,Monticello,AR,71656,www.uamont.edu/,www.uamont.edu/NetPrice/npcalc.htm,8431,14281,19068,19971.0,1819,11986,0,36902,0.3577,,,0.4533974744,23351,23,False,True,True,False
Arthur's Beauty College,Jacksonville,AR,72076,arthursbeautycollege.com/,https://www.arthursbeautycollege.com/jacksonville.html,0,0,0,9833.0,37,0,11630,21954,0.3409,,,0.4606741573,15532,26,False,True,True,False
Baptist Health College Little Rock,Little Rock,AR,72210-2827,https://www.bhclr.edu/,https://www.bhclr.edu/student-services/accounts/netprice/npcalc.htm,12938,12938,0,10000.0,549,0,0,62244,,0.8571,,0.4169550173,29617,26,True,False,True,False
Black River Technical College,Pocahontas,AR,72455,www.blackrivertech.edu/,www.blackrivertech.org/financial-aid/net-price-calculator,4440,6888,13691,9500.0,1003,4773,0,34818,0.3245,,,0.4806973848,20619,24,False,True,True,False
University of Central Arkansas,Conway,AR,72035-0001,www.uca.edu/,uca.edu/financialaid/financial-aid-net-price-calculator/,9778,16728,23167,20346.0,7563,13601,0,45938,0.4973,0.9121,1118.0,0.3459589224,37082,21,False,False,False,False
Central Baptist College,Conway,AR,72034,www.cbc.edu/,https://www.cbc.edu/estimateexpenses,17700,17700,28293,22250.0,489,0,16873,46789,0.3906,0.6394,1011.0,0.3455497382,38278,24,False,False,False,False
Cossatot Community College of the University of Arkansas,De Queen,AR,71832,www.cccua.edu/,www.cccua.edu/Content/Uploads/cccua/files/npcalc/npc.html,3620,4460,11376,13500.0,833,3403,0,33775,0.4588,,,0.5862068966,20384,23,False,True,True,False
